name;description;category;year_published
Songburst: 70's & 80's Edition;"&quot;The Complete-the-Lyric Game&quot;&#10;&#10;Two or three teams attempt to complete lyrics from popular songs. Players are given the year, the artist, the song title and the first two or three words; if nobody can get it, then more words are revealed.&#10;&#10;";Music,Party Game,Trivia;1992
1812;"Two versions are included, using separate maps covering most of Russia. The strategic game is area driven, while the tactical version covers the game scope but using hex mechanics.&#10;&#10;There is an earlier version of the box that is NOT plastic, it is a completely cardboard box. Many of the early SPI games came in these cardboard boxes until someone bright decided that the plastic ones would be cheaper and more easily manipulated for advertising.&#10;&#10;400 Counters&#10;&#10;";Napoleonic,Wargame;1972
Barrel of Monkeys;"Did you know that this is not just a children's toy, but also a game?&#10;&#10;Try to hook a chain of monkeys until you stop or your chain falls apart. You score one point for every monkey in the chain at that point. First to 12 points wins!&#10;&#10;The U.S. federal trademark registration for BARREL OF MONKEYS by LAKESIDE INDUSTRIES, INC., W. HARTFORD, CT 06110 was filed on Wednesday, July 14, 1965. The USPTO trademark serial number was 72223317.&#10;&#10;";Action / Dexterity,Animals,Children's Game;1965
88;"(from the game box:)&#10;&#10;88 is an intense tactical-level game of ground combat in Africa's Western Desert in World War II, the famous struggle between the British &quot;Desert Rats&quot; and the German and Italian Afrika Korps. 88 duplicates the strengths and weaknesses of the German, British and Italian units involved with 50 data cards that display all the information needed to move and fight. The game system, shared with our earlier popular Panzer game (which covers battles on the Eastern Front), easily incorporates myriad details such as armor thicknesses at various points, shots from various angles, heights, and altitudes, and the effects of terrain. The rules cover the important aspects of small unit tactics - armor piercing shots, small arms fire, high explosives, artillery barrages, air support, communications, turret rotation, gun depression, mines, roadblocks, barbed wire, smoke, and much more. The flexible scenarios cover a variety of combat situations that are resolved on the six-piece geomorphic mapboard, which also features movable terrain pieces. The types of units include infantry, anti-tanks guns (including the deadly 88mm), Matildas, Crusaders, Bren Carriers, Long Range Desert Group Trucks, Honeys, Grants, Shermans, M13/40s SEM 41s, a large variety of Pz IIIs and IVs, halftracks, and much, much more.&#10;&#10;";Wargame,World War II;1980
The Sword and the Flame;"&quot;Being a set of introductory rules for the conduct of miniature battles of the British Empire&quot;&#10;&#10;This one set of rules enables the miniature wargamer to play in six different Colonial periods - Pathans 1878, Zulus 1879, Boers 1880, Egyptians 1882, Dervishes 1884 and African Exploration (only in the 20th Anniversary Edition). There is no need for additional supplements or game cards.&#10;&#10;By utilizing half-a-dozen or so six-sided dice (d6), about a dozen 10-sided dice (d10), a tape-measure and a standard set of playing cards, this was the first published set of rules to incorporate:&#10;&#10;- Variable move distance&#10;    - Specific casualty determination&#10;    - Random movement and firing sequence&#10;&#10;Figures are individually mounted, but movement, morale and combat is by the unit, with the basic unit being the 20 figures infantry platoon (or Pathan clan, Zulu Iviyo, Dervish warband), 12 figures for a cavalry troop and 4 figures for an artillery battery. Units are then added to make larger forces (company, battalion, Pathan/Dervish tribe, Zulu Ibutho, Boer Commando, and cavalry squadron). Each unit has an identifiable command figure.&#10;&#10;TSATF has been described as a semi-skirmish game. Unit movement is determined by die roll, different types of units under different circumstances rolling differing numbers of six-sided dice. Random card draws decide which units move first, and also determine the effects of fire and combat.&#10;&#10;&quot;The Sword and the Flame 20th Anniversary Edition&quot;&#10;Included in the updated 20th Anniversary Edition are many new features such as Pinning defenders, Two ranks firing, Overhead fire, Pass-through fire, Limited ammunition, Volley and independent fire, and a Rules synopsis page. The 20th Anniversary Edition is an improvement over the original edition.&#10;&#10;The Sword and the Flame is designed for use with 25mm figures, but it can be easily suited for 15mm and 20mm miniatures.&#10;&#10;";Miniatures,Wargame;1979
Cromwell's Victory: The Battle of Marston Moor;"Game on the pivotal battle of Marston Moor during the English Civil War using the ""30 Year's Quadrigame"" series system from SPI. This was released with Strategy &amp; Tactics magazine #101.&#10; Victory is determined by killing enemy units and capturing the enemy's camp.&#10;&#10;";Pike and Shot,Wargame;1985
Pro Tennis;"Pro Tennis simulates tennis matches in the early 1980's, the era of Jimmy Connors, John McEnroe, Martina Navritolova and Chris Evert. Included are cards for 50 men and 50 women professionals. Each card has a column for &quot;Serve&quot;, &quot;Serve Return&quot;, &quot;Volley&quot; and &quot;Special&quot;. Play consists of rolling dice (two white dice, plus a red die that isn't added to the others but sometimes changes the outcome) and cross-indexing the number rolled with the proper column. The result will be a point for one of the players or an instruction to roll next in one of the other columns. Once in a while, a player gets to make a choice that varies a column's results, and random events, such as stomach cramps, broken rackets, arguments with the umpire and thunderstorms, are possible.&#10;&#10;To take an example, Connors is pitted against McEnroe. Connors has the serve. He rolls 1, 5 (white) and 3 (red). The dice roll is 15 (read the dice as digits, low roll first); the red is ignored unless it's a 5 or 6. A 15 in Connors' Serve column is &quot;I&quot;, which means that McEnroe can return the serve. He rolls 2, 2 (white) and 1 (red) - a 22, which yields a &quot;V&quot; in his Serve Return column. Connors must now roll against his Volley column. He gets 4, 6 (white) and 5 (red). Ordinarily, a 46 would be a point for him, but the red 5 allows McEnroe to make a clutch return. He rolls the white dice (only). A score equal to or less than his Clutch Value is a V result; anything higher loses the point. McEnroe's Clutch Rating is 33. He rolls a 3 and a 6 - not good enough, and Connors is ahead 15-love.&#10;&#10;Connors serves again: 4, 6 (white) and 5 (red). An ace for Connors; McEnroe doesn't even get a clutch return. 30-love.&#10;&#10;The next Connors serve: 2, 2 (white) and 2 (red). Triples generate a random event. (Many players think that random events are too common and limit their appearance to rolls of triple 1's.) Connors rolls the two white dice: 3, 4. He's gotten into an argument with the umpire (realism!) and draws a warning. If he argues again, he'll automatically lose a point.&#10;&#10;Back to serving: 1, 4 (white) and 2 (red). The result is &quot;I&quot;. McEnroe's return: 3, 4 (white) and 1 (red) - a &quot;V&quot;. Connors rolls 1, 2 (white) and 4 (red). A 12 on his Volley column is &quot;S&quot;, which means that he returned the shot but left his opponent in a good position. McEnroe can roll on the favorable &quot;Special&quot; column. Sure enough. He rolls 3, 5 (white) and 3 (red); a 35 on his Special column wins the point. 30-15.&#10;&#10;And so it goes.&#10;&#10;This not a game for anyone who wants to devise winning strategies. Rather, the players watch as the dice play. That is, however, the point of this kind of sports simulation: to project what would happen if real athletes competed in imaginary matches.&#10;&#10;The game also includes rules for doubles, mixed doubles and matches between men and women.&#10;&#10;";Sports;1983
Fear God and Dread Nought;"Fear God &amp; Dread Nought completes the Admirality Trilogy (Harpoon 4, Command at Sea, Fear God &amp; Dread Nought) Utilizing the same framework, those familiar with either of the other games will have no difficulty stepping into the First World War. The selection of a small scenario allows the novice to play within an hour of opening the box, with several scenarios also being optimal for solitaire play.&#10;&#10;Rules come punched for a three ringed binder (not provided) for ease of use and photocopying. They follow the same format as our other rules used in the Trilogy, making them easy to follow for experienced gamers, and novices alike. Tactical turns represent 3 minutes, with intermediate turns (for long distance maneuvering and long stern chases) representing 30 minutes. Gun hit probability is based upon a combination of factors such as visibility, range, target size, number of rounds firing at the target, and speeds of the firing and target platforms. Damage is a function of the type of shell, number of barrels firing and armor of target, and is easy to calculate also. Blank ship forms allow the player to list all the ranges and damages of his ship's particular guns in advance, making it quick and easy to calculate both damage and hit probability. Critical damage is a function of the amount of damage taken last round vs. the amount of damage able to be taken. Critical hits typically scored against systems (engineering, bridge, steering or individual weapon amounts).&#10;&#10;The 40+ scenarios include the well known &quot;biggies&quot; such as Jutland (broken into three parts, as well as the grand battle) and Dogger Bank, and many smaller engagements. Often there are variants given, covering important &quot;almosts&quot; and &quot;what ifs&quot;. All aspects are covered, with ships provided for the Japanese, Turkish, Austrian, and Russian navies as well as the British and German fleets. The Data Annex includes all ship classes for the war and is a valuable reference by itself. So with this product, one need only Fear God &amp; Dread Nought!&#10;&#10;";Miniatures,Nautical,Wargame,World War I;2001
GOLO;"GOLO Golf dice is played with 9 12-sided dice that represent the 9 holes on the front (or the back) of an 18-hole traditional golf course. There are 5 white dice (par 4s), 2 red dice (par 3's) and 2 blue dice (par 5s). Each dice has the ability to shoot above par, par, or below par. There are as many formats as there are golf side games, but players typically play in one of two formats:&#10;&#10;Traditional Format:&#10;&#10;All nine dice are rolled--the player chooses at least 1 die, but can use more than one to count toward his/her 9-hole total. The remaining dice are picked up and rolled again. Players have the option of having multiple dice count toward their score, or choose as few as one and try to &quot;GO LO&quot; (shoot a low score--golf parlance).&#10;&#10;Golf Course Format:&#10;&#10;In this format, the players must follow along to the scorecard of their favorite course, or any course. If the first 9 holes (&quot;Front 9&quot;) at Pebble Beach are laid out in this order--4-4-3-4-5-3-4-4-5=36, then when the player begins by rolling all 9 dice, he/she must play the course &quot;in order&quot; by choosing two par 4's before he/she may then chose a par 3. Having to go in the order of holes on a golf course creates a different strategy and usually produces higher scores than the Traditional format.&#10;&#10;In all formats, tournament play is the most exciting--where players are playing against each other, and their scores are affecting other players' choices and strategies.&#10;&#10;A game primarily for non-gamers and sports nuts, which nevertheless is a very strategic, &quot;push-your-luck&quot; dice game. It is not just a matter of rolling dice and counting up your score; the requirement of keeping one or more dice each time you roll presents many interesting choices, depending on what your opponent has done, and what you already have kept for scoring.&#10;&#10;The game is sold online at www.igolo.com and in major golf shops and golf stores. Game includes a cup, nine dice, score pad, pencil, and rulebook.&#10;&#10;";Dice,Sports;1999
Bulls-Eye Ball;"A scaled down version of Skeeball. Players bounce balls off a mini-trampoline and try to get them in the target circles. An electronic announcer keeps score.&#10;&#10;Three games are included:&#10;30-Second Blitz- Score as many points as you can in 30 seconds&#10;25-point Rush- Score 25 points as quickly as possible&#10;Bulls-eye Ace- See how many times you can score a bulls-eye before you miss 10 times&#10;&#10;";Action / Dexterity,Electronic;2003
Screwball Scramble;"Push a button, slide the lever, or turn a knob.  Make quick decisions to meet each new challenge of Run Yourself Ragged.  Struggle across the tilting walkway, strain across the parallel bars, slide over the unstable table, bounce through the great tire obstacle, weave your way through the blind maze and spring through the catapult and land on the bell to complete Run Yourself Ragged in record time!&#10;&#10;";Action / Dexterity,Racing;1979
New Rules for Classic Games;"This book offers a large number of variations on many classic board and card games, as well as listing some new games that can be played with components from those games.&#10;&#10;While it is comparable to Sid Sackson's well known gaming book (A Gamut of Games) in some respects, New Rules for Classic Games also explains how and why certain variations work. It also provides some guidelines on creating new variations for existing games, including tips on how to change the number of players or to handicap one side effectively. Because of this, New Rules for Classic Games is recommended for people interested in game design.&#10;&#10;Rules are given for the induction game of Eleusis, and several variations on Sid Sackson's classic party game Haggle are described.&#10;&#10;Variations are also provided for many classic board games, including:&#10;&#10;    Monopoly&#10;    Trivial Pursuit&#10;    Chinese Checkers&#10;    Boggle&#10;    Mastermind&#10;    Hearts&#10;    Scrabble&#10;    Chess&#10;    Checkers&#10;    Backgammon&#10;    Risk&#10;    Pente&#10;    Bridge&#10;    Poker&#10;    Go&#10;&#10;&#10;&#10;&#10;";Abstract Strategy,Action / Dexterity,Book,Card Game,Deduction,Dice,Negotiation,Word Game;1992
Dice Games Properly Explained;"Reiner Knizia's paperback book about dice games runs to 224 pages including the index. There are 8 chapters:&#10;1. Lucky Scoring Games&#10;2. Lucky Counter Games&#10;3. The Theory of Dice (9 pages headed &quot;It's easier than you think&quot;)&#10;4. Betting Games&#10;5. Progression Games&#10;6. Jeopardy Games&#10;7. Category Games&#10;8. Bluffing Games&#10;&#10;There are tons of games here, all explained pretty simply, in an open, friendly style. Most have one or two pages and include variants, tactics and odds where applicable. The only illustrations are relevant but basic diagrams, nothing big enough to photocopy.&#10;&#10;The front piece notes some games are original to Knizia, and these are the ones that are mentioned as &quot;original&quot; games in the book - games like Catego or Six Hundred.&#10;&#10;";Book,Dice;1999
Celebrity Taboo;"This is like regular Taboo except that all the &quot;clue words&quot; are names of famous celebrities past and present.&#10;&#10;Players divide into two teams. A card is secretly drawn and a &quot;clue giver&quot; tries to get his team to say the word on it . . . without using any of the related words that are also on the card. The team has a timer during which they score as many clues as possible.&#10;&#10;";Movies / TV / Radio theme,Party Game,Word Game;1991
Red Army;"Red Army: The Destruction of Army Group Center, is a two player game on Operation Bagration, the Soviet summer offensive in Byelorussia, June 1944.  Army Group Center finds itself outnumbered and eventually destroyed by four Soviet Front Armies.&#10;&#10;Game Scale:&#10;Game Turn: 2 days&#10;Hex: 6.2 miles / 10 kilometers&#10;Units: Brigade to Corps&#10;&#10;Game Inventory:&#10;Four 17 x 22&quot; four color mapsheets&#10;One dual-side printed countersheet (240 1/2&quot; counters)&#10;One 12-page Red Army rulebook&#10;Four Player Aid Cards&#10;One 6-sided die&#10;&#10;Solitaire Playability: Medium&#10;Complexity Level: Medium&#10;Players: 2 or more&#10;Playing Time: 6+ Hours&#10;&#10;";Wargame,World War II;1982
Monopoly: Marvel Comics;"The classic Monopoly game with a Marvel Universe theme.  Buy and sell individual comics which replace the classic Boardwalk and Park Place.  Thwipp and Snikt cards replace Community Chest and Chance.&#10;&#10;";Comic Book / Strip,Economic,Negotiation;1999
Tension: The Crazy Naming Game;"Tension is a game for 2 teams of 2 or more people, in which you have 1 minute to name examples of a given subject, which could be anything from &quot;Annoying personal habits&quot; to &quot;Foods that are naughty but nice&quot;.&#10;&#10;Each correct answer moves the team 1 point along the scoring track.  The only problem is, only the 10 answers printed on the answer card count!&#10;&#10;The first team to the end of the scoring track wins.&#10;&#10;";Humor,Party Game,Word Game;1992
Math Dice;"MathDice: The Fast Fun Game of Mental Math&#10;&#10;To play:&#10;1. Roll two 12-sided dice. Multiply the two numbers together. That is the TARGET NUMBER.&#10;2. Roll three 6-sided dice. &#10;3. The winner is the first player to combine the three d6 in any way to match - or come closest to - the TARGET NUMBER. You can use each dice only once in the equation.&#10;&#10;Game includes the five dice, cloth bag, and an instruction booklet with these practice tables: addition/subtraction, multiplication, division, powers, and roots.&#10;&#10;This game was invented by  a sixth-grader as a &quot;Design a Game&quot; math workshop project. Recommended for elementary age through adult.&#10;&#10;";Educational,Math,Number;2003
General Quarters;"These two rulebooks contain the original General Quarters rules for naval miniatures.  Although first published in the 1970s, their realistic and elegant game mechanics are still usable today.  Somewhat counterintuitively, GQI covers World War 2, and GQII covers World War I (plus some optional enhancements for World War II).  May be used with any scale naval miniatures.&#10;&#10;";Miniatures,Nautical,Wargame,World War I,World War II;1975
Inquisitor;"From GW's website: &quot;Inquisitor is a large scale narrative skirmish game using beautifully crafted 54mm models, and set in the dark world of the Imperium's most covert and mysterious agents. The book contains: Rules for Inquisitor, comprehensive armory and details of abilities and powers, extensive guidance for Gamesmasters and players, 15 fully detailed sample characters, ready-to-play scenario, and complete reference section, glossary and index for ease of play.&quot;&#10;&#10;see the RPGG entry Inquisitor&#10;&#10;";Miniatures,Science Fiction,Wargame;2001
The Mediterranean;"This is the third and final volume in Robert Beyma's Struggle for Europe series.  While the game includes a Desert War scenario, the main use of this game is to complete the Struggle for Europe theme by including the campaign and naval rules which enable owners of Mediterranean, War Without Mercy and Brute Force to play a number of large campaign scenarios (included in The Mediterranean).&#10;&#10;Scenarios included in this product include &quot;Fall Blau&quot; (1942 scenario); &quot;1939-1941 Campaign&quot; scenario; &quot;1943-1944 Campaign&quot; scenario; &quot;1939-1945 Campaign&quot; scenario; and the &quot;Desert War&quot; scenario.&#10;&#10;One 11&quot; x 30&quot; and one 11&quot; x 22&quot; map sheets mate lengthwise to cover from the Tunisia-Libya border in the west to Tehran in the east.  The maps mate with the prior series maps.  Two sheets of sturdy die-cut counters (560 total, in multiple colors) provide pieces for numerous minor powers, the major navies, additional land and air combatants for the major powers and markers for use in the Campaign scenarios.&#10;&#10;The new Scenario Book incorporates Series errata.  The new 3rd Edition Struggle for Europe Series Standard Rules are also included in the bookcase box.&#10;&#10;";Wargame,World War II;2005
Cranium: The Family Fun Game;"From the manufacturer:  Cranium Family Fun gives families the best way to play together as a team in an unforgettably fun game that gives everyone a chance to shine. Packed with 16 hilarious activities, Cranium Family Fun gets you building, flipping, sketching, sculpting, guessing, and laughing out loud together every time you play!&#10;&#10;From the back of the box:&#10;Cranium Family Fun features a variety of hilarious activities that will have everyone laughing, high-fiving, and working and playing together! With colorful Cranium Cubes and fun Flipper Frogs, The Family Fun Game delivers the ultimate family game night!&#10;&#10;Can Mom flip a frog through a hoop you've sculpted out of clay? Can you pass the Cranium Cubes to Dad ... without using your hands? Can you work together to write down three of the top five most popular pizza toppings?&#10;&#10;In Cranium Family Fun, everyone will have a chance to shine as you perform wacky stunts, act, sketch, guess, sculpt with Cranium Clay, and more! And the short play time (about 40 minutes) makes it easy to squeeze in some laugh-out-loud family fun before dinner or after school.&#10;&#10;Object: Be the first team to cross the finish line and you win the game!  The teams score points and move on the board by successfully completing their activities.&#10;&#10;How to play:&#10;&#10;1. Divide players into at least two teams. Instruct each team to choose its game piece and place it on the Planet Cranium starting space.&#10;&#10;2 Provide each team with paper and a pencil. Place the four card character boxes out on the board (Creative Cat, Star Performer, Word Worm, Date Head). Place the timer, the die and the Cranium Clay container on the table.&#10;&#10;3 The first team must choose its character box and draw a card. Follow instructions on the card. The player whose birthday is closest is the first player to go on the team.&#10;&#10;4 Roll the die and move the appropriate number of spaces only if your team has completed the character card activity successfully; otherwise, pass the play to the team on the left. Stop on any Planet Cranium spaces you pass over during your move forward. Advance forward to the next Planet Cranium if you roll purple.&#10;&#10;5 Advance to the inner fast track if you successfully complete the task from the Planet Cranium card. Remain on the outer scenic track if you do not complete the task.&#10;&#10;6 Pass the play to the team on the left after you have advanced your playing piece.&#10;&#10;7 Halt the game when a Club Cranium card is drawn. All teams follow the instructions on the card to compete simultaneously against each other in a bonus round. The winning team receives a bonus roll.&#10;&#10;8 The winning team rolls and moves. Continue play with the team whose turn it was before the bonus round.&#10;&#10;9 Enter the Cranium Central at the end of the game board. When you roll, advance to the appropriate character box as indicated by the color rolled on the die.&#10;&#10;10 Complete the activity in Cranium Central. Advance to the next character in clockwise motion. Wait for your next turn to complete that activity.&#10;&#10;11 A team wins when it is the first to complete the four activities in Cranium Central.&#10;&#10;";Action / Dexterity,Humor,Party Game,Puzzle,Trivia,Word Game;2005
Jenga Ultimate;"As with regular Jenga a tower building game consisting of 54 rectangular blocks in layers of 3.&#10;&#10;The difference from regular Jenga being that each turn the player rolls a dice to determine what color block he/she has to remove.&#10;&#10;";Action / Dexterity,Party Game;1995
HorrorClix;"Players assemble teams of monsters from across the horror spectrum &mdash; including vampires, zombies and werewolves &mdash; and then protect the innocent, eat them or both in a delightful, gore-filled romp! HorrorClix uses plot twist cards, a heavy emphasis on scenario play and new character cards to explode the boundaries of CMGs and the patented Clix system.&#10;&#10;HorrorClix raises the bar for all miniatures games by shifting the game focus from hack-and-slash combat to inventive scenario- and story-based play. Additionally, it uses the combat dial to provide literally hundreds of tailor-made supernatural (and super-gruesome!) powers and abilities. Character cards flesh out each monster with fiction and detailed explanations of each creature&rsquo;s capabilities, including mechanics never before seen in miniatures games!&#10;&#10;All miniatures come pre-painted with stat cards, and are available in a starter set, boosters and special collectors sets including H P Lovecraft's Ancient One; The Great Cthulhu!&#10;&#10;Sets released:&#10;&#10;Horrorclix: Starter Set&#10;Base Set (Booster Expansion)&#10;The Lab (Booster Expansion)&#10;AVP Aliens Collectors Set&#10;AVP Predators Collectors Set&#10;AVP Alien Queen Collectors Set&#10;Freakshow (Booster Expansion)&#10;The Great Cthulhu Collectors Set&#10;Nightmares (Booster Expansion)&#10;Freddie vs. Jason Collectors Set&#10;Hellboy and the BPRD Collectors Set (Not technically a Horrorclix release- more a Heroclix release which can also be used with Horrorclix!)&#10;&#10;Horrorclix was considered discontinued as of 2010.&#10;&#10;";Collectible Components,Fantasy,Fighting,Horror,Miniatures,Movies / TV / Radio theme;2006
The Da Vinci Code Game;"&quot;Now you can live the adventure pf The Da Vinci Code. Play the game with the intrigue and excitement of the highly anticipated movie, The Da Vinci Code, based on the best-selling novel. Game uses trivia and word play to unlock ancient mysteries and modern secrets that will delight all adventure seekers.&quot;&#10;-Game Box&#10;&#10;";Movies / TV / Radio theme,Novel-based,Trivia;2006
Pictionary Mania;"Similar to Pictionary, but now, there are 5 new ways to play:&#10;-Body Doodle&#10;-Draw Back&#10;-Eyes Wide Shut&#10;-Direct a draw&#10;-Panograph&#10;Besides, the path to winner's circle can get shorter or longer.&#10;It uses doodle pro boards instead of papers and pencils for drawing, and it is now for only 2 teams, with each team has 2 or more players.&#10;&#10;";Action / Dexterity,Party Game,Word Game;2005
Battlefield Evolution;"From Mongoose Publishing:&#10;&#10;Welcome to the battlefield of the near future!&#10;&#10;Battlefield Evolution is a fast-paced and easy to learn miniatures game, with enough tactical depth to keep you hooked for years. You will command small forces based on real world armies of the near future, and attempt to overwhelm your opponents with tactical skill and a healthy dose of luck!&#10;&#10;Based on supposition and projection of real world armies in the near future, this game features new technologies that are just around the corner &ndash; you will be among the first to experience how such weapons and equipment can affect the modern battlefield from the point of view of a soldier. There are several different armies to collect, each with a wide range of units and tactical abilities&#10;&#10;Battlefield Evolution features simple, yet tactically challenging rules and expert-level pre-painted models in every box set!&#10;&#10;";Miniatures,Modern Warfare,Science Fiction,Wargame;2007
The Big Taboo;"&quot;Get ready to play The Big Taboo...&#10;&#10;The Big Taboo is one mix between from the traditional Taboo, Taboo Body Talk and Taboo Quick Draw. The play mixes oral tests, mime and drawing. The general principle remains very near to the basic play of the Taboo game.  Just like the Taboo you know and love, but with 4 unspeakable ways to play! Race against the timer to get as many guess words as possible. Will you have to draw them, use as few words as possible to describe them, play Classic Taboo or twist Bendy Bob to help your team guess them? You even have a chance at a brain-bending memory round!&quot;&#10;&#10;Following in the footsteps of Cranium, The Big Taboo is attempting a new lease at life through adding extra mechanics and expanding the basic concept of the original game with variants.&#10;&#10;";Action / Dexterity,Memory,Party Game,Word Game;2006
Johnny Reb;"Johnny Reb is a set of miniatures rules from the American Civil War. Units are regiments of 15 to 30 figures divided into 5 bases, with players commanding a division or corps.&#10;&#10;The first edition was published by Adventure Games in 1983. GDW released a 2nd edition with minor changes in 1988, with a scenario book &quot;To the Sound of the Guns&quot; the same year. Johnny Reb III, published by John Hill in 1996 is a very different game, with major changes to the scale (1&quot;:50 vs 1&quot;:40 yards, 1:30 vs 1:20 men, artillery batteries vs sections) and games mechanisms.&#10;&#10;";American Civil War,Miniatures,Wargame;1983
Electronic Catch Phrase: Music Edition;"An electronic music version of the trivia board game.  Two teams sit in such a way that they are in between two of their opponents and facing everyone.  The game is much like Hot Potato; a song and artist appears on the screen of the handheld device.  The player currently holding it must get one of their teammates to correctly guess the name of the song.  They must do this without saying any part of a word on the screen, rhyming any parts of those words, or saying the first letter of any of those words.  When a teammate guesses correctly, the device is passed to the left for the other team to do the same.  The round ends when an internal timer runs out and a buzzer sounds.  The team not holding the device at that time scores a point.&#10;&#10;There are two ways to play, and scoring is different in each.  The first is similar to classic Catch Phrase.  However, if you wish to incorporate singing into the game, the other version adds an extra point for any clue that is sung, if the team guesses correctly.&#10;&#10;The game has 9 categories to choose from each round: Pop Mix, 70s, 80s 90s, 2000s, Classic Rock, Hip Hop/R&amp;B, Country, Oldies.&#10;&#10;The game requires 3 AAA batteries, not included.&#10;&#10;";Electronic,Music,Party Game,Trivia;2007
The Origin of Expressions;"Make up a story explaining the origin of a phrase that will have other players convinced yours is correct. Each player votes for the story he or she believes is the real origin of the phrase. Players earn points by either writing a yarn good enough to fool the other players into voting for it or by guessing the correct origin among those written by others.&#10;&#10;";Bluffing,Party Game,Trivia;2007
